year,month,label,duty,surcharge
2023,Jun,LT1,10,0.1
2023,Jul,LT1,10,0.09
2023,Aug,LT1,10,0.1
2023,Sep,LT1,10,0.1
2023,Oct,LT1,10,0.1
2023,Nov,LT1,10,0.1
2023,Dec,LT1,10,0.1
2024,Jan,LT1,10,0.1
2024,Feb,LT1,10,0.1
2024,Mar,LT1,10,0.1
2024,Apr,LT1,10,0.1
2024,May,LT1,10,0.1
2024,Jun,LT1,10,0.1
2024,Jul,LT1,10,0.1
2024,Aug,LT1,10,0.1
2024,Sep,LT1,10,0.1
2024,Oct,LT1,10,0.1
2024,Nov,LT1,10,0.1
2024,Dec,LT1,10,0.1
2025,Jan,LT1,10,0.1
2025,Feb,LT1,10,0.1
2025,Mar,LT1,10,0.06
2025,Apr,LT1,10,0.07
2025,May,LT1,10,0.08
2025,Jun,LT1,10,0.05
2025,Jul,LT1,10,0.06
2025,Aug,LT1,10,0.09
2025,Sep,LT1,10,0.1
2025,Oct,LT1,10,0.1
2025,Nov,LT1,10,0.1
2025,Dec,LT1,10,0.05
2026,Jan,LT1,10,0.08
2026,Feb,LT1,10,0
2026,Mar,LT1,10,-0.02
2026,Apr,LT1,10,0
2026,May,LT1,10,0.01
2026,Jun,LT1,10,0
2026,Jul,LT1,10,
2026,Aug,LT1,10,
2026,Sep,LT1,10,
2026,Oct,LT1,10,
2026,Nov,LT1,10,
2026,Dec,LT1,10,
